     1	Grampian
     2	Ceredigion
     3	Buckinghamshire
     4	South Yorkshire
     5	Vale of Glamorgan
     6	Essex
     7	Hampshire
     8	Bedfordshire
     9	Northern Ireland
    10	Humberside
    11	West Midlands
    12	Lancashire
    13	Lancashire
    14	Greater Manchester
    15	Dorset
    16	Berkshire
    17	West Yorkshire
    18	Essex
    19	Bridgend
    20	East Sussex
    21	Avon
    22	Greater Manchester
    23	Gwynedd
    24	Cambridgeshire
    25	Kent
    26	Cardiff
    27	Cumbria
    28	Carmarthenshire
    29	Essex
    30	Gloucestershire
    31	Cheshire
    32	Derbyshire
    33	West Sussex
    34	Essex
    35	Aberconwy and Colwyn
    36	West Midlands
    37	Cheshire
    38	Monmouthshire
    39	Durham
    40	Derbyshire
    41	South Yorkshire
    42	Dorset
    43	Kent
    44	West Midlands
    45	Dumfries and Galloway
    46	Tayside
    47	Durham
    48	Hampshire
    49	Blaenau Gwent
    50	Lothian
    51	Surrey
    52	Essex
    53	Devon
    54	Hampshire
    55	Tyne and Wear
    56	Strathclyde
    57	Fife
    58	Gloucestershire
    59	Gloucestershire
    60	Surrey
    61	North Yorkshire
    62	Hampshire
    63	Pembrokeshire
    64	Hertfordshire
    65	West Sussex
    66	West Yorkshire
    67	Humberside
    68	Cambridgeshire
    69	Highland
    70	Suffolk
    71	Island Areas (munic.)
    72	Norfolk
    73	Surrey
    74	Humberside
    75	West Yorkshire
    76	Merseyside
    77	Lancashire
    78	West Yorkshire
    79	Leicestershire
    80	Leicestershire
    81	East Sussex
    82	Lincolnshire
    83	Merseyside
    84	Powys
    85	Anglesey
    86	Greater London
    87	Bedfordshire
    88	Cheshire
    89	Kent
    90	Greater Manchester
    91	Nottinghamshire
    92	Derbyshire
    93	Merthyr Tydfil
    94	Cleveland
    95	Buckinghamshire
    96	Flintshire
    97	Nottinghamshire
    98	Berkshire
    99	Tyne and Wear
   100	Staffordshire
   101	Tyne and Wear
   102	Newport
   103	Borders
   104	North Yorkshire
   105	Northamptonshire
   106	Norfolk
   107	Nottinghamshire
   108	Warwickshire
   109	Greater Manchester
   110	Oxfordshire
   111	Cambridgeshire
   112	Devon
   113	Torfaen
   114	Dorset
   115	Neath and Port Talbot
   116	Hampshire
   117	Lancashire
   118	Berkshire
   119	Surrey
   120	Strathclyde
   121	Rhondda Cynon Taff
   122	Vale of Glamorgan
   123	Greater Manchester
   124	Kent
   125	South Yorkshire
   126	Denbighshire
   127	Hertfordshire
   128	Merseyside
   129	Greater Manchester
   130	Wiltshire
   131	North Yorkshire
   132	Merseyside
   133	Kent
   134	South Yorkshire
   135	Shropshire
   136	Berkshire
   137	West Midlands
   138	Hampshire
   139	Essex
   140	Staffordshire
   141	Central
   142	Greater Manchester
   143	Cleveland
   144	Staffordshire
   145	Warwickshire
   146	Gloucestershire
   147	Tyne and Wear
   148	Derbyshire
   149	Kent
   150	Swansea
   151	Greater Manchester
   152	Somerset
   153	Kent
   154	Greater Manchester
   155	Wiltshire
   156	Cornwall / Isles of Scilly
   157	Kent
   158	West Yorkshire
   159	West Midlands
   160	Cheshire
   161	Warwickshire
   162	West Midlands
   163	Greater Manchester
   164	Hampshire
   165	Berkshire
   166	Merseyside
   167	Berkshire
   168	West Midlands
   169	Hereford and Worcester
   170	Wrexham
   171	Buckinghamshire
   172	North Yorkshire
   173	Caerphilly
